id,Degerlendirme Puani
0,33.96
1,18.76
2,13.5
3,18.36
4,40.16
5,33.46
6,10.17
7,12.64
8,15.57
9,9.32
10,37.79
11,45.44
12,29.82
13,47.25
14,20.8
15,35.56
16,19.24
17,26.79
18,41.38
19,36.49
20,28.19
21,11.54
22,22.17
23,17.84
24,37.84
25,10.66
26,8.42
27,43.75
28,35.23
29,36.62
30,18.25
31,37.87
32,14.69
33,37.38
34,34.21
35,21.19
36,32.78
37,24.03
38,23.49
39,49.06
40,37.55
41,27.48
42,46.53
43,36.02
44,37.4
45,26.16
46,24.91
47,32.8
48,51.24
49,31.97
50,32.41
51,24.82
52,17.04
53,53.51
54,40.12
55,44.03
56,45.28
57,25.5
58,38.94
59,21.7
60,17.63
61,33.62
62,14.19
63,48.0
64,23.4
65,48.65
66,53.73
67,23.3
68,36.19
69,22.23
70,55.76
71,23.33
72,41.09
73,31.04
74,8.81
75,11.96
76,18.72
77,47.49
78,11.13
79,23.19
80,22.53
81,58.99
82,29.82
83,30.28
84,29.67
85,6.08
86,22.59
87,37.11
88,32.04
89,30.06
90,47.29
91,35.31
92,24.12
93,27.0
94,12.79
95,18.06
96,50.74
97,37.16
98,10.75
99,14.56
100,35.99
101,48.6
102,23.41
103,27.94
104,40.95
105,32.52
106,40.05
107,40.69
108,35.25
109,25.77
110,18.67
111,9.97
112,7.32
113,34.61
114,35.34
115,47.03
116,19.25
117,36.57
118,36.59
119,45.02
120,9.36
121,35.26
122,47.22
123,32.08
124,20.46
125,31.31
126,37.61
127,25.08
128,17.2
129,33.97
130,19.28
131,23.1
132,34.25
133,37.478
134,40.33
135,36.19
136,49.99
137,53.19
138,49.56
139,51.41
140,32.25
141,20.47
142,30.25
143,27.82
144,23.32
145,19.19
146,19.06
147,47.39
148,25.8
149,51.67
150,13.13
151,48.94
152,34.36
153,36.76
154,24.71
155,39.61
156,46.48
157,11.95
158,17.99
159,31.72
160,48.38
161,37.58
162,9.2
163,9.41
164,48.89
165,36.95
166,35.14
167,36.2
168,28.79
169,28.54
170,18.83
171,41.52
172,23.77
173,55.76
174,43.12
175,44.32
176,52.71
177,8.09
178,53.06
179,17.2
180,54.84
181,52.05
182,45.3
183,32.44
184,29.34
185,9.06
186,48.6
187,55.85
188,12.33
189,25.94
190,12.74
191,26.43
192,22.54
193,38.22
194,33.12
195,47.15
196,22.01
197,36.62
198,49.11
199,34.28
200,16.94
201,50.79
202,36.32
203,34.16
204,36.71
205,9.37
206,36.61
207,11.05
208,29.741666666666664
209,32.78
210,51.81
211,20.65
212,41.53
213,22.36
214,23.18
215,44.35
216,47.01
217,26.07
218,18.57
219,42.59
220,44.1
221,29.5
222,26.4
223,24.52
224,25.02
225,19.35
226,25.83
227,37.36
228,51.07
229,19.8
230,14.07
231,24.14
232,32.69
233,32.37
234,22.15
235,13.96
236,36.54
237,49.91
238,47.55
239,44.47
240,53.46
241,37.01
242,17.26
243,50.5
244,46.05
245,44.08
246,42.45
247,20.42
248,17.18
249,16.14
250,24.24
251,26.84
252,40.1
253,39.14
254,34.25
255,14.34
256,36.94
257,41.34
258,20.96
259,28.92
260,39.18
261,18.75
262,28.91
263,17.95
264,21.49
265,44.22
266,13.63
267,32.09
268,12.58
269,49.17
270,17.2
271,34.63
272,33.57
273,57.23
274,19.7
275,27.61
276,15.51
277,53.79
278,31.68333333333333
279,22.86
280,31.65
281,35.8
282,24.76
283,28.34
284,54.44
285,21.17
286,36.48
287,19.34
288,43.57
289,54.65
290,34.09
291,9.64
292,13.14
293,21.7
294,29.0
295,12.43
296,50.92
297,53.08
298,10.35
299,34.51
300,17.04
301,44.53
302,21.45
303,17.47
304,19.8
305,20.44
306,33.02
307,40.07
308,18.56
309,49.89
310,48.86
311,49.81
312,34.05
313,24.29
314,36.73
315,25.64
316,18.58
317,44.73
318,18.7
319,13.47
320,18.12
321,42.58
322,34.96
323,28.8675
324,38.28
325,35.98166666666667
326,25.51
327,15.47
328,46.13
329,40.29
330,27.2
331,36.475
332,12.57
333,46.65
334,13.21
335,37.76
336,31.96
337,22.32
338,12.37
339,26.46
340,30.1
341,30.4
342,26.29
343,18.37
344,52.69
345,34.63
346,29.88
347,42.9
348,35.83
349,52.16
350,21.23
351,28.8
352,19.34
353,6.49
354,52.51
355,26.87
356,40.41
357,28.52
358,33.14
359,35.37
360,42.76
361,25.13
362,17.35
363,24.38
364,48.84
365,14.38
366,41.63
367,30.06
368,17.33
369,24.0
370,29.87
371,29.55
372,7.73
373,20.89
374,22.55
375,33.59
376,20.63
377,31.05
378,24.28
379,29.4
380,44.83
381,11.28
382,27.47
383,16.95
384,13.6
385,32.01
386,27.62
387,15.46
388,36.87
389,31.54
390,25.97
391,10.3
392,19.2
393,44.16
394,48.22
395,45.72
396,45.84
397,25.02
398,23.31
399,31.59
400,11.17
401,22.47
